Organism	Chromosome	Contig	Gene_Name	Strand_Orientation	Start	End
Homo sapiens 	X 	NT_011681 	LOC728302 	+ 	5299122 	5301323
Homo sapiens 	X 	NT_011681 	MAGEA9 	+ 	5306392 	5312196
Homo sapiens 	X 	NT_011681 	MAGEA7 	+ 	5332988 	5333265
Homo sapiens 	X 	NT_011681 	MAGEA8 	+ 	5405644 	5410256
Homo sapiens 	X 	NT_079573 	PRRG1 	+ 	97596 	168286
Homo sapiens 	X 	NT_079573 	LOC389844 	+ 	202352 	203708
Homo sapiens 	X 	NT_079573 	LOC642296 	+ 	215691 	217022
Homo sapiens 	X 	NT_079573 	LOC139249 	- 	252104 	255161
Homo sapiens 	X 	NT_079573 	LANCL3 	+ 	282564 	388491
Homo sapiens 	X 	NT_079573 	LOC644106 	+ 	330713 	338191
Homo sapiens 	X 	NT_079573 	XK 	+ 	396875 	443145
Homo sapiens 	X 	NT_079573 	CYBB 	+ 	491087 	524481
Homo sapiens 	X 	NT_079573 	DYNLT3 	- 	549856 	558598
Homo sapiens 	X 	NT_079573 	SC4MOP 	+ 	656904 	657785
Homo sapiens 	X 	NT_079573 	CXorf27 	+ 	701836 	702262
Homo sapiens 	X 	NT_079573 	SYTL5 	+ 	744910 	837750
Homo sapiens 	X 	NT_079573 	SRPX 	- 	860359 	931898
Homo sapiens 	X 	NT_079573 	RPGR 	- 	980190 	1038555
Homo sapiens 	X 	NT_079573 	OTC 	+ 	1063125 	1132376
Homo sapiens 	X 	NT_079573 	LOC392442 	+ 	1169511 	1190933
Homo sapiens 	X 	NT_079573 	LOC392443 	- 	1195742 	1201644
Homo sapiens 	X 	NT_079573 	LOC442446 	- 	1242943 	1265710
Homo sapiens 	X 	NT_079573 	TSPAN7 	+ 	1272506 	1399939
Homo sapiens 	X 	NT_079573 	MID1IP1 	+ 	1514840 	1517466
Homo sapiens 	X 	NT_079573 	LOC727959 	- 	2399848 	2401113
Homo sapiens 	X 	NT_079573 	GAPDHP1 	- 	2498153 	2498581
Homo sapiens 	X 	NT_079573 	BCOR 	- 	2762384 	2813821
Homo sapiens 	X 	NT_079573 	LOC728068 	- 	2867157 	2872872
Homo sapiens 	X 	NT_079573 	LOC402394 	- 	3069466 	3071749
Homo sapiens 	X 	NT_079573 	ATP6AP2 	+ 	3291983 	3317656
Homo sapiens 	X 	NT_079573 	LOC347411 	+ 	3333858 	3334995
Homo sapiens 	X 	NT_079573 	CXorf38 	- 	3340807 	3358544
Homo sapiens 	X 	NT_079573 	CRSP2 	- 	3359325 	3446550
Homo sapiens 	X 	NT_079573 	LOC728142 	+ 	3446468 	3447067
Homo sapiens 	X 	NT_079573 	DPRXP6 	+ 	3469450 	3470108
Homo sapiens 	X 	NT_079573 	MKRN4 	+ 	3545163 	3548831
Homo sapiens 	X 	NT_079573 	LOC392447 	+ 	3608237 	3619411
Homo sapiens 	X 	NT_079573 	LOC286444 	- 	3645959 	3646922
Homo sapiens 	X 	NT_079573 	LOC442447 	+ 	3788019 	3788777
Homo sapiens 	X 	NT_079573 	USP9X 	+ 	3796655 	3947599
Homo sapiens 	X 	NT_079573 	LOC728177 	- 	3796837 	3798997
Homo sapiens 	X 	NT_079573 	LOC643043 	- 	4033945 	4034355
Homo sapiens 	X 	NT_079573 	DDX3X 	+ 	4044418 	4061294
Homo sapiens 	X 	NT_079573 	LOC728964 	+ 	4045630 	4047758
Homo sapiens 	X 	NT_079573 	NYX 	+ 	4158454 	4186730
Homo sapiens 	X 	NT_079573 	CASK 	- 	4231110 	4634035
Homo sapiens 	X 	NT_079573 	LOC158781 	- 	4384872 	4387526
Homo sapiens 	X 	NT_079573 	GPR34 	+ 	4400018 	4408293
Homo sapiens 	X 	NT_079573 	GPR82 	+ 	4435175 	4439216
Homo sapiens 	X 	NT_079573 	LOC728201 	+ 	4634446 	4634859
Homo sapiens 	X 	NT_079573 	LOC654480 	- 	4809625 	4810251
Homo sapiens 	X 	NT_079573 	PPP1R2P9 	- 	5488384 	5489253
Homo sapiens 	X 	NT_079573 	LOC139334 	- 	5988378 	5990677
Homo sapiens 	X 	NT_079573 	NANOGP10 	- 	6118042 	6119857
Homo sapiens 	X 	NT_079573 	MAOA 	+ 	6367176 	6457835
Homo sapiens 	X 	NT_079573 	MAOB 	- 	6477624 	6593448
Homo sapiens 	X 	NT_079573 	NDP 	- 	6659789 	6684517
Homo sapiens 	X 	NT_079573 	LOC643167 	+ 	6740346 	6742799
Homo sapiens 	X 	NT_079573 	EFHC2 	- 	6859678 	7054685
Homo sapiens 	X 	NT_079573 	RRM2P3 	+ 	7020327 	7021489
Homo sapiens 	X 	NT_079573 	LOC402397 	- 	7187040 	7189271
Homo sapiens 	X 	NT_079573 	FUNDC1 	- 	7234670 	7253983
Homo sapiens 	X 	NT_079573 	CTF8P 	+ 	7344343 	7347079
Homo sapiens 	X 	NT_079573 	LOC392451 	+ 	7356802 	7360732
Homo sapiens 	X 	NT_079573 	LOC644464 	+ 	7452021 	7453050
Homo sapiens 	X 	NT_079573 	DUSP21 	+ 	7555017 	7555901
Homo sapiens 	X 	NT_079573 	UTX 	+ 	7576704 	7823614
Homo sapiens 	X 	NT_079573 	LOC729052 	- 	7862664 	7864997
Homo sapiens 	X 	NT_079573 	CXorf36 	- 	7873334 	7911913
Homo sapiens 	X 	NT_079573 	LOC139061 	- 	8092539 	8093007
Homo sapiens 	X 	NT_079573 	LOC347333 	- 	8343191 	8423730
Homo sapiens 	X 	NT_079573 	LOC392452 	+ 	8442091 	8442950
Homo sapiens 	X 	NT_079573 	LOC139060 	+ 	8694513 	8695675
Homo sapiens 	X 	NT_079573 	LOC392454 	- 	8769948 	8770730
Homo sapiens 	X 	NT_079573 	PCNAP 	+ 	8890452 	8891434
Homo sapiens 	X 	NT_079573 	LOC643309 	- 	8999213 	9000330
Homo sapiens 	X 	NT_079573 	LOC392456 	- 	9129645 	9131275
Homo sapiens 	X 	NT_079573 	LOC389849 	- 	9150764 	9151916
Homo sapiens 	X 	NT_079573 	ZNF673 	+ 	9158526 	9185841
Homo sapiens 	X 	NT_079573 	ZNF674 	- 	9210313 	9256643
Homo sapiens 	X 	NT_079573 	LOC442448 	- 	9272855 	9273766
Homo sapiens 	X 	NT_079573 	CHST7 	+ 	9284959 	9309605
Homo sapiens 	X 	NT_079573 	SLC9A7 	- 	9318140 	9470239
Homo sapiens 	X 	NT_079573 	RP2 	+ 	9548143 	9593560
Homo sapiens 	X 	NT_079573 	CXorf31 	- 	9598619 	9610906
Homo sapiens 	X 	NT_079573 	PHF16 	+ 	9623635 	9772407
Homo sapiens 	X 	NT_079573 	RGN 	+ 	9789542 	9804479
Homo sapiens 	X 	NT_079573 	RNU12 	+ 	9843480 	9844023
Homo sapiens 	X 	NT_079573 	NDUFB11 	- 	9853386 	9856204
Homo sapiens 	X 	NT_079573 	RBM10 	+ 	9856398 	9897979
Homo sapiens 	X 	NT_079573 	UBE1 	+ 	9902027 	9926294
Homo sapiens 	X 	NT_079573 	LOC728367 	- 	9904910 	9905188
Homo sapiens 	X 	NT_079573 	INE1 	+ 	9916087 	9917027
Homo sapiens 	X 	NT_079573 	PCTK1 	+ 	9929399 	9941163
Homo sapiens 	X 	NT_079573 	USP11 	+ 	9944081 	9959494
Homo sapiens 	X 	NT_079573 	NICN2P 	- 	9983307 	9985628
Homo sapiens 	X 	NT_079573 	ZNF157 	+ 	10081749 	10125161
Homo sapiens 	X 	NT_079573 	ZNF41 	- 	10158170 	10194112
Homo sapiens 	X 	NT_079573 	LOC729148 	- 	10220950 	10224826
Homo sapiens 	X 	NT_079573 	ARAF 	+ 	10272274 	10283066
Homo sapiens 	X 	NT_079573 	SYN1 	- 	10283067 	10331023
Homo sapiens 	X 	NT_079573 	TIMP1 	+ 	10293457 	10297957
Homo sapiens 	X 	NT_079573 	CFP 	- 	10335392 	10341471
Homo sapiens 	X 	NT_079573 	ELK1 	- 	10346687 	10361787
Homo sapiens 	X 	NT_079573 	UXT 	- 	10362962 	10370327
Homo sapiens 	X 	NT_079573 	LOC643474 	- 	10429132 	10430265
Homo sapiens 	X 	NT_079573 	LOC392459 	+ 	10431408 	10437104
Homo sapiens 	X 	NT_079573 	LOC644739 	+ 	10509092 	10518521
Homo sapiens 	X 	NT_079573 	LOC441493 	- 	10545574 	10547959
Homo sapiens 	X 	NT_079573 	ZNF81 	+ 	10548068 	10633373
Homo sapiens 	X 	NT_079573 	LOC643507 	- 	10552129 	10552868
Homo sapiens 	X 	NT_079573 	ZNF182 	- 	10686017 	10715144
Homo sapiens 	X 	NT_079573 	LOC389852 	+ 	10715501 	10720893
Homo sapiens 	X 	NT_079573 	ZNF630 	- 	10769370 	10782562
Homo sapiens 	X 	NT_079573 	SSX6 	+ 	10818855 	10831836
Homo sapiens 	X 	NT_079573 	psiSSX2 	+ 	10829785 	10831944
Homo sapiens 	X 	NT_079573 	LOC729201 	+ 	10838370 	10843762
Homo sapiens 	X 	NT_079573 	LOC643554 	- 	10865063 	10865197
Homo sapiens 	X 	NT_079573 	psiSSX3 	+ 	10867315 	10877754
Homo sapiens 	X 	NT_079573 	SSX5 	- 	10897423 	10907966
Homo sapiens 	X 	NT_079573 	LOC648415 	+ 	10923978 	10928161
Homo sapiens 	X 	NT_079573 	SSX1 	+ 	10966564 	10978646
Homo sapiens 	X 	NT_079573 	psiSSX8 	+ 	10987794 	10990553
Homo sapiens 	X 	NT_079573 	SSX9 	- 	11006652 	11017442
Homo sapiens 	X 	NT_079573 	psiSSX9 	+ 	11033394 	11039573
Homo sapiens 	X 	NT_079573 	SSX3 	- 	11057630 	11067909
Homo sapiens 	X 	NT_079573 	SSX4 	+ 	11094735 	11104552
Homo sapiens 	X 	NT_079573 	SSX4B 	- 	11113295 	11123111
Homo sapiens 	X 	NT_079573 	psiSSX6 	+ 	11143346 	11143419
Homo sapiens 	X 	NT_079573 	psiSSX7 	+ 	11151664 	11153122
Homo sapiens 	X 	NT_079573 	SLC38A5 	- 	11168694 	11180332
Homo sapiens 	X 	NT_079573 	FTSJ1 	+ 	11186316 	11196519
Homo sapiens 	X 	NT_079573 	PORCN 	+ 	11219138 	11230969
Homo sapiens 	X 	NT_079573 	EBP 	+ 	11232024 	11238871
Homo sapiens 	X 	NT_079573 	OATL1 	+ 	11249897 	11271389
Homo sapiens 	X 	NT_079573 	LOC729275 	- 	11283249 	11285042
Homo sapiens 	X 	NT_079573 	RBM3 	+ 	11284603 	11288571
Homo sapiens 	X 	NT_079573 	MRPL32P1 	- 	11293248 	11293511
Homo sapiens 	X 	NT_079573 	WDR13 	+ 	11307668 	11315341
Homo sapiens 	X 	NT_079573 	WAS 	+ 	11393976 	11401582
Homo sapiens 	X 	NT_079573 	SUV39H1 	+ 	11406898 	11419170
Homo sapiens 	X 	NT_079573 	LOC392465 	+ 	11475808 	11483618
Homo sapiens 	X 	NT_079573 	LOC648603 	- 	11486175 	11486864
Homo sapiens 	X 	NT_079573 	GATA1 	+ 	11496729 	11504485
Homo sapiens 	X 	NT_079573 	HDAC6 	+ 	11512254 	11535147
Homo sapiens 	X 	NT_079573 	LOC728542 	+ 	11536624 	11537873
Homo sapiens 	X 	NT_079573 	ERAS 	+ 	11539050 	11540315
Homo sapiens 	X 	NT_079573 	PCSK1N 	- 	11541273 	11545727
Homo sapiens 	X 	NT_079573 	LOC728548 	+ 	11599697 	11600887
Homo sapiens 	X 	NT_079573 	TIMM17B 	- 	11602499 	11607193
Homo sapiens 	X 	NT_079573 	PQBP1 	+ 	11606962 	11612187
Homo sapiens 	X 	NT_079573 	SLC35A2 	- 	11612226 	11620700
Homo sapiens 	X 	NT_079573 	PIM2 	- 	11622226 	11628051
Homo sapiens 	X 	NT_079573 	OTUD5 	- 	11631255 	11666660
Homo sapiens 	X 	NT_079573 	KCND1 	- 	11670406 	11680018
Homo sapiens 	X 	NT_079573 	GRIPAP1 	- 	11681901 	11710442
Homo sapiens 	X 	NT_079573 	TFE3 	- 	11738009 	11754757
Homo sapiens 	X 	NT_079573 	CCDC120 	+ 	11770283 	11781277
Homo sapiens 	X 	NT_079573 	PRAF2 	- 	11782585 	11785429
Homo sapiens 	X 	NT_079573 	WDR45 	- 	11785859 	11811826
Homo sapiens 	X 	NT_079573 	GPKOW 	- 	11824112 	11833846
Homo sapiens 	X 	NT_079573 	FLJ21687 	+ 	11874010 	11878589
Homo sapiens 	X 	NT_079573 	PLP2 	+ 	11882040 	11885205
Homo sapiens 	X 	NT_079573 	LMO6 	- 	11885673 	11896543
Homo sapiens 	X 	NT_079573 	SYP 	- 	11898032 	11910428
Homo sapiens 	X 	NT_079573 	CACNA1F 	- 	11915290 	11943600
Homo sapiens 	X 	NT_079573 	LOC653364 	- 	11944143 	11944727
Homo sapiens 	X 	NT_079573 	CCDC22 	+ 	11945708 	11961164
Homo sapiens 	X 	NT_079573 	FOXP3 	- 	11961177 	11975055
Homo sapiens 	X 	NT_079573 	PPP1R3F 	+ 	11980084 	11997844
Homo sapiens 	X 	NT_079573 	GAGE10 	+ 	12015106 	12032332
Homo sapiens 	X 	NT_079573 	LOC729396 	+ 	12032283 	12039633
Homo sapiens 	X 	NT_079573 	GAGE12D 	+ 	12041827 	12049136
Homo sapiens 	X 	NT_079573 	GAGE8 	+ 	12051374 	12058690
Homo sapiens 	X 	NT_079573 	LOC729408 	+ 	12060883 	12068187
Homo sapiens 	X 	NT_079573 	GAGE4 	+ 	12070416 	12077707
Homo sapiens 	X 	NT_079573 	GAGE5 	+ 	12070424 	12077710
Homo sapiens 	X 	NT_079573 	GAGE7B 	+ 	12070444 	12077710
Homo sapiens 	X 	NT_079573 	GAGE7 	+ 	12070445 	12077707
Homo sapiens 	X 	NT_079573 	GAGE2 	+ 	12079938 	12087248
Homo sapiens 	X 	NT_079573 	LOC645037 	+ 	12089442 	12096764
Homo sapiens 	X 	NT_086939 	LOC729422 	+ 	3783 	11147
Homo sapiens 	X 	NT_086939 	LOC729428 	+ 	13339 	20703
Homo sapiens 	X 	NT_086939 	LOC729431 	+ 	22895 	30255
Homo sapiens 	X 	NT_086939 	GAGE6 	+ 	32483 	39811
Homo sapiens 	X 	NT_086939 	GAGE12G 	+ 	42006 	49363
Homo sapiens 	X 	NT_086939 	LOC729442 	+ 	51555 	58910
Homo sapiens 	X 	NT_086939 	LOC729447 	+ 	61102 	68433
Homo sapiens 	X 	NT_086939 	GAGE1 	+ 	70694 	77718
Homo sapiens 	X 	NT_086939 	VDAC1LP 	- 	104436 	104970
Homo sapiens 	X 	NT_086939 	LOC139163 	- 	136457 	145281
Homo sapiens 	X 	NT_086939 	PAGE1 	- 	159066 	167366
Homo sapiens 	X 	NT_086939 	PAGE4 	+ 	300703 	305367
Homo sapiens 	X 	NT_086939 	LOC158572 	- 	349733 	350518
Homo sapiens 	X 	NT_086939 	USP27X 	+ 	351353 	353026
Homo sapiens 	X 	NT_086939 	CLCN5 	+ 	540955 	564320
Homo sapiens 	X 	NT_086939 	LOC644059 	+ 	627606 	627818
Homo sapiens 	X 	NT_086939 	AKAP4 	- 	662210 	672463
Homo sapiens 	X 	NT_011726 	LOC642980 	- 	10315 	14380
Homo sapiens 	X 	NT_011726 	CXorf40B 	- 	18353 	24654
Homo sapiens 	X 	NT_011726 	LOC643015 	+ 	200549 	202695
Homo sapiens 	X 	NT_011726 	LOC389901 	- 	305344 	319091
Homo sapiens 	X 	NT_011726 	LOC728020 	- 	447743 	509805
Homo sapiens 	X 	NT_011726 	CXorf6 	+ 	531658 	600377
Homo sapiens 	X 	NT_011726 	LOC728030 	+ 	598169 	599281
Homo sapiens 	X 	NT_011726 	MTM1 	+ 	655007 	759552
Homo sapiens 	X 	NT_011726 	MTMR1 	+ 	779807 	851513
Homo sapiens 	X 	NT_011726 	CD99L2 	- 	852747 	985117
Homo sapiens 	X 	NT_011726 	HMGB3 	+ 	1069701 	1077186
Homo sapiens 	X 	NT_011726 	LOC392557 	+ 	1079912 	1080502
Homo sapiens 	X 	NT_011726 	GPR50 	+ 	1263063 	1267875
Homo sapiens 	X 	NT_011726 	LOC286456 	- 	1312639 	1314125
Homo sapiens 	X 	NT_011726 	LOC203547 	+ 	1483643 	1495774
Homo sapiens 	X 	NT_011726 	PASD1 	+ 	1650030 	1763145
Homo sapiens 	X 	NT_011726 	PRRG3 	+ 	1784715 	1787949
Homo sapiens 	X 	NT_011726 	FATE1 	+ 	1802444 	1809602
Homo sapiens 	X 	NT_011726 	CNGA2 	+ 	1821154 	1831972
Homo sapiens 	X 	NT_011726 	MAGEA4 	+ 	1999297 	2011578
Homo sapiens 	X 	NT_011726 	GABRE 	- 	2039532 	2061087
Homo sapiens 	X 	NT_011726 	MAGEA5 	- 	2200462 	2204380
Homo sapiens 	X 	NT_011726 	MAGEA10 	- 	2220827 	2224961
Homo sapiens 	X 	NT_011726 	GABRA3 	- 	2254463 	2537766
Homo sapiens 	X 	NT_011726 	LOC402429 	+ 	2537441 	2567432
Homo sapiens 	X 	NT_011726 	GABRQ 	+ 	2724573 	2739761
Homo sapiens 	X 	NT_011726 	MAGEA6 	+ 	2785181 	2788750
Homo sapiens 	X 	NT_011726 	CSAG3A 	- 	2794679 	2800974
Homo sapiens 	X 	NT_011726 	CSAG2 	- 	2794687 	2795683
Homo sapiens 	X 	NT_011726 	MAGEA12 	- 	2817229 	2821108
Homo sapiens 	X 	NT_011726 	CSAG1 	+ 	2821164 	2827454
Homo sapiens 	X 	NT_011726 	MAGEA2 	- 	2836324 	2840300
Homo sapiens 	X 	NT_011726 	MAGEA2B 	- 	2836339 	2838035
Homo sapiens 	X 	NT_011726 	LOC728461 	+ 	2845670 	2846671
Homo sapiens 	X 	NT_011726 	MAGEA3 	- 	2852588 	2856176
Homo sapiens 	X 	NT_011726 	psMAGEA 	- 	2870783 	2875896
Homo sapiens 	X 	NT_011726 	CETN2 	- 	2913807 	2917237
Homo sapiens 	X 	NT_011726 	NSDHL 	+ 	2917447 	2955843
Homo sapiens 	X 	NT_011726 	ZNF185 	+ 	3004601 	3059952
Homo sapiens 	X 	NT_011726 	PNMA5 	- 	3075307 	3078694
Homo sapiens 	X 	NT_011726 	PNMA3 	+ 	3142810 	3146758
Homo sapiens 	X 	NT_011726 	PNMA6A 	+ 	3158801 	3161337
Homo sapiens 	X 	NT_011726 	LOC728513 	- 	3162088 	3163287
Homo sapiens 	X 	NT_011726 	LOC728307 	- 	3208410 	3214214
Homo sapiens 	X 	NT_011726 	MAGEA1 	- 	3301996 	3306557
Homo sapiens 	X 	NT_011726 	LOC728317 	+ 	3357552 	3363734
Homo sapiens 	X 	NT_011726 	LOC649201 	- 	3404870 	3408065
Homo sapiens 	X 	NT_011726 	ZNF275 	+ 	3429340 	3437529
Homo sapiens 	X 	NT_011726 	LOC649238 	- 	3482838 	3486299
Homo sapiens 	X 	NT_011726 	LOC139735 	+ 	3504045 	3507560
Homo sapiens 	X 	NT_011726 	TREX2 	- 	3530652 	3532419
Homo sapiens 	X 	NT_011726 	UIP1 	- 	3533598 	3556563
Homo sapiens 	X 	NT_011726 	LOC389904 	+ 	3565267 	3572742
Homo sapiens 	X 	NT_011726 	BGN 	+ 	3580885 	3595478
Homo sapiens 	X 	NT_011726 	LOC728349 	+ 	3602982 	3605017
Homo sapiens 	X 	NT_011726 	ATP2B3 	+ 	3622054 	3668861
Homo sapiens 	X 	NT_011726 	FAM58A 	- 	3673857 	3685055
Homo sapiens 	X 	NT_011726 	LOC340598 	- 	3690423 	3691277
Homo sapiens 	X 	NT_011726 	DUSP9 	+ 	3728462 	3737251
Homo sapiens 	X 	NT_011726 	LOC347544 	+ 	3748091 	3748621
Homo sapiens 	X 	NT_011726 	PNCK 	- 	3755697 	3760254
Homo sapiens 	X 	NT_011726 	LOC728385 	+ 	3759440 	3774274
Homo sapiens 	X 	NT_011726 	SLC6A8 	+ 	3773866 	3782514
Homo sapiens 	X 	NT_011726 	BCAP31 	- 	3786426 	3810361
Homo sapiens 	X 	NT_011726 	ABCD1 	+ 	3810810 	3830655
Homo sapiens 	X 	NT_011726 	PLXNB3 	+ 	3850185 	3865269
Homo sapiens 	X 	NT_011726 	STK23 	+ 	3866984 	3871661
Homo sapiens 	X 	NT_011726 	IDH3G 	- 	3871695 	3880441
Homo sapiens 	X 	NT_011726 	SSR4 	+ 	3880568 	3884428
Homo sapiens 	X 	NT_011726 	PDZD4 	- 	3888097 	3916477
Homo sapiens 	X 	NT_011726 	CYCSP45 	+ 	3927180 	3927497
Homo sapiens 	X 	NT_011726 	L1CAM 	- 	3947861 	3961785
Homo sapiens 	X 	NT_011726 	LCA10 	+ 	3966601 	3974918
Homo sapiens 	X 	NT_011726 	AVPR2 	+ 	3990844 	3993114
Homo sapiens 	X 	NT_011726 	ARHGAP4 	- 	3993305 	4012172
Homo sapiens 	X 	NT_011726 	ARD1A 	- 	4015851 	4020942
Homo sapiens 	X 	NT_011726 	RENBP 	- 	4021197 	4030706
Homo sapiens 	X 	NT_011726 	HCFC1 	- 	4033482 	4050651
Homo sapiens 	X 	NT_011726 	LOC728390 	+ 	4057152 	4058961
Homo sapiens 	X 	NT_011726 	CXorf12 	+ 	4058715 	4069114
Homo sapiens 	X 	NT_011726 	IRAK1 	- 	4096431 	4105816
Homo sapiens 	X 	NT_011726 	MECP2 	- 	4107738 	4183603
Homo sapiens 	X 	NT_011726 	LOC728653 	- 	4180899 	4183454
Homo sapiens 	X 	NT_011726 	OPN1LW 	+ 	4230214 	4244985
Homo sapiens 	X 	NT_011726 	LOC653363 	- 	4245158 	4266108
Homo sapiens 	X 	NT_011726 	OPN1MW 	+ 	4268641 	4282005
Homo sapiens 	X 	NT_011726 	LOC728447 	- 	4282288 	4303229
Homo sapiens 	X 	NT_011726 	LOC728458 	+ 	4305741 	4319233
Homo sapiens 	X 	NT_011726 	CXorf2 	- 	4319406 	4343912
Homo sapiens 	X 	NT_011726 	TKTL1 	+ 	4344625 	4379174
Homo sapiens 	X 	NT_011726 	FLNA 	- 	4397439 	4423403
Homo sapiens 	X 	NT_011726 	LOC728490 	- 	4423563 	4427553
Homo sapiens 	X 	NT_011726 	EMD 	+ 	4428261 	4430355
Homo sapiens 	X 	NT_011726 	RPL10 	+ 	4447192 	4451154
Homo sapiens 	X 	NT_011726 	SNORA70 	+ 	4449096 	4449230
Homo sapiens 	X 	NT_011726 	DNASE1L1 	- 	4450053 	4460901
Homo sapiens 	X 	NT_011726 	TAZ 	+ 	4460351 	4470539
Homo sapiens 	X 	NT_011726 	ATP6AP1 	+ 	4477452 	4485336
Homo sapiens 	X 	NT_011726 	LOC728515 	- 	4485372 	4485975
Homo sapiens 	X 	NT_011726 	GDI1 	+ 	4485995 	4492288
Homo sapiens 	X 	NT_011726 	FAM50A 	+ 	4492982 	4499470
Homo sapiens 	X 	NT_011726 	PLXNA3 	+ 	4507097 	4522459
Homo sapiens 	X 	NT_011726 	LAGE3 	- 	4526588 	4528070
Homo sapiens 	X 	NT_011726 	UBL4A 	- 	4532530 	4535406
Homo sapiens 	X 	NT_011726 	SLC10A3 	- 	4536122 	4539469
Homo sapiens 	X 	NT_011726 	FAM3A 	- 	4554980 	4564847
Homo sapiens 	X 	NT_011726 	G6PD 	- 	4580080 	4595943
Homo sapiens 	X 	NT_011726 	IKBKG 	+ 	4596536 	4613735
Homo sapiens 	X 	NT_011726 	LOC643894 	+ 	4629663 	4630735
Homo sapiens 	X 	NT_011726 	LOC728749 	+ 	4633892 	4635549
Homo sapiens 	X 	NT_011726 	CTAG1A 	- 	4666339 	4667996
Homo sapiens 	X 	NT_011726 	CTAG1B 	- 	4666339 	4667994
Homo sapiens 	X 	NT_011726 	LOC340600 	- 	4671071 	4672506
Homo sapiens 	X 	NT_011726 	deltaNEMO 	- 	4688140 	4697025
Homo sapiens 	X 	NT_011726 	CTAG2 	- 	4700725 	4702316
Homo sapiens 	X 	NT_011726 	OR3B1P 	- 	4707481 	4708409
Homo sapiens 	X 	NT_011726 	GAB3 	- 	4724004 	4799806
Homo sapiens 	X 	NT_011726 	DKC1 	+ 	4811624 	4826434
Homo sapiens 	X 	NT_011726 	SNORA36A 	+ 	4817277 	4817408
Homo sapiens 	X 	NT_011726 	SNORA56 	+ 	4823747 	4823875
Homo sapiens 	X 	NT_011726 	MPP1 	- 	4827442 	4854237
Homo sapiens 	X 	NT_011726 	LOC728776 	- 	4865055 	4866270
Homo sapiens 	X 	NT_011726 	F8 	- 	4884540 	5071472
Homo sapiens 	X 	NT_011726 	H2AFB1 	+ 	4933791 	4934307
Homo sapiens 	X 	NT_011726 	F8A1 	+ 	4935109 	4936810
Homo sapiens 	X 	NT_011726 	LOC553820 	- 	4957573 	4967961
Homo sapiens 	X 	NT_011726 	FUNDC2 	+ 	5075538 	5105665
Homo sapiens 	X 	NT_011726 	MTCP1 	- 	5110360 	5120110
Homo sapiens 	X 	NT_011726 	BRCC3 	+ 	5120184 	5171823
Homo sapiens 	X 	NT_011726 	VBP1 	+ 	5265024 	5288572
Homo sapiens 	X 	NT_011726 	RAB39B 	- 	5308000 	5314326
Homo sapiens 	X 	NT_011726 	CLIC2 	- 	5325974 	5384460
Homo sapiens 	X 	NT_011726 	PHF10P1 	+ 	5341638 	5343305
Homo sapiens 	X 	NT_011726 	LOC553939 	+ 	5398438 	5401023
Homo sapiens 	X 	NT_011726 	H2AFB2 	+ 	5430910 	5431257
Homo sapiens 	X 	NT_011726 	F8A2 	+ 	5432238 	5433353
Homo sapiens 	X 	NT_011726 	F8A3 	- 	5507620 	5508735
Homo sapiens 	X 	NT_011726 	H2AFB3 	- 	5509554 	5510070
Homo sapiens 	X 	NT_011726 	TMLHE 	- 	5540247 	5663071
Homo sapiens 	X 	NT_011726 	SPRY3 	+ 	5817925 	5832591
Homo sapiens 	X 	NT_011726 	AMDP1 	- 	5878230 	5879798
Homo sapiens 	X 	NT_011726 	SYBL1 	+ 	5931487 	5993894
Homo sapiens 	X 	NT_011726 	LOC644218 	- 	6035485 	6036386
Homo sapiens 	X 	NT_011726 	IL9R 	+ 	6047720 	6060956
Homo sapiens 	X 	NT_011726 	LOC376475 	+ 	6070439 	6079248
Homo sapiens 	X 	NT_011726 	LOC728890 	- 	6075800 	6078322
Homo sapiens 	X 	NT_113962 	LOC392563 	+ 	18129 	20016
Homo sapiens 	X 	NT_113962 	LOC728668 	+ 	27441 	29904
Homo sapiens 	X 	NT_113962 	LOC728687 	+ 	37047 	131537
Homo sapiens 	X 	NT_113962 	LOC728146 	+ 	68697 	80064
Homo sapiens 	X 	NT_113963 	LOC644431 	+ 	13300 	13893
Homo sapiens 	X 	NT_113963 	LOC727733 	+ 	14118 	21907
Homo sapiens 	X 	NT_011638 	CCNB3 	+ 	3367 	70740
Homo sapiens 	X 	NT_011638 	DGKK 	- 	87724 	189564
Homo sapiens 	X 	NT_011638 	SHROOM4 	- 	310474 	532871
Homo sapiens 	X 	NT_011638 	LOC347376 	+ 	624265 	624693
Homo sapiens 	X 	NT_011638 	BMP15 	+ 	629611 	635434
Homo sapiens 	X 	NT_011638 	LOC644129 	- 	637746 	650555
Homo sapiens 	X 	NT_011638 	LOC648926 	- 	749215 	751268
Homo sapiens 	X 	NT_011638 	LOC648890 	+ 	801353 	809910
Homo sapiens 	X 	NT_011638 	NUDT10 	+ 	1050910 	1056204
Homo sapiens 	X 	NT_011638 	LOC340602 	+ 	1125594 	1127517
Homo sapiens 	X 	NT_011638 	NUDT11 	- 	1208690 	1215286
Homo sapiens 	X 	NT_011638 	LOC347549 	- 	1336734 	1337597
Homo sapiens 	X 	NT_011638 	LOC441495 	- 	1399972 	1401591
Homo sapiens 	X 	NT_011638 	LOC389857 	+ 	1429435 	1431054
Homo sapiens 	X 	NT_011638 	GSPT2 	+ 	1462354 	1464856
